556 32 47 135 2127 245 1496 200 2477 74 2395 111 1439 246 1023 41 1779 157 590 96 1679 65 115 155 1204 245 1698 67 2319 11 1753 182 2181 52 1389 118 1535 14 747 11 2434 186 198 135 936 188 2304 49 89 159 1832 79 2195 238 2398 180 116 82 1480 47 7490 238 215 4 2375 148 2401
675 32 57 212 351 109 1375 41 345 39 83 213 1024 89 3 149 1478 123 799 72 1375 209 245 122 1115 93 488 242 1751 5 1814 57 3071 233 2402 23 345 72 1194 216 1525 195 591 18 970 44 993 178 2198 192 458 100 2378 127 403 213 748 125 1949 221 338 137 100 162 2321 55 2442
699 32 15 81 1606 229 1099 186 2424 92 1157 28 377 160 323 213 2291 240 1608 15 2730 182 195 164 2088 56 859 208 2015 48 2497 153 1802 195 1628 201 1408 23 1677 166 1466 172 579 227 1901 96 1074 10 1820 198 2116 146 2459 56 892 228 2475 77 472 42 1659 81 2409 85 2210 146 1242
751 32 6 140 1138 110 859 89 2118 8 1054 20 1136 133 2223 38 349 111 661 213 1348 53 1922 65 806 221 1396 6 2404 137 1900 206 2369 236 1526 181 986 250 879 163 1332 60 1345 27 1778 179 2497 58 1788 228 864 238 266 67 48 85 1205 123 2358 110 576 227 1730 3 1202 118 663
774 32 35 145 2440 123 494 138 1050 157 952 142 1052 212 95 35 5498 21 905 146 989 80 1310 10 2232 15 47 228 286 46 2087 84 119 11 1728 133 2424 144 170 191 745 128 2270 213 2454 223 825 120 1277 10 461 58 2204 96 2219 158 2498 236 939 55 702 169 1835 193 2009 104 2162
783 32 102 91 733 82 784 220 1439 155 869 47 2252 66 989 21 93 208 751 83 828 158 636 97 1427 96 1286 168 2134 120 583 106 684 102 4887 76 1047 75 440 233 442 40 7 152 1483 4 683 216 1657 15 26 169 43 140 1805 183 138 207 1061 112 2146 246 1198 44 381 141 88
798 32 14 156 2115 56 1463 215 2384 72 411 121 299 108 1238 121 2427 141 1929 39 126 122 862 51 1530 149 287 32 392 51 338 75 1589 111 2416 141 396 106 2123 110 1436 235 259 93 2286 81 2322 125 150 115 2447 156 2427 169 746 48 1570 219 706 14 14154 69 1655 2 2022 72 29
807 32 77 141 1918 132 1424 140 1845 25 2408 239 1550 77 7395 70 1328 77 2220 186 1815 180 306 82 2156 42 421 218 2061 166 388 158 1531 22 2113 158 2499 14 647 91 680 187 2063 240 1160 38 1040 173 1908 243 1442 186 818 198 1928 215 774 188 613 228 1424 183 2376 194 1890 101 66
890 32 90 168 1431 23 988 49 485 219 2189 188 431 176 1909 15 1256 162 1533 201 739 95 2157 181 1698 175 156 26 413 60 1410 9 266 181 2178 239 831 170 916 165 1279 51 338 150 2101 95 284 223 2368 199 878 54 1083 121 2406 104 680 91 720 174 513 150 73 55 1180 90 2660
922 32 35 166 2113 89 2404 61 97 64 2349 112 430 193 1682 85 1886 195 1054 13 594 69 2249 168 2066 12 2347 53 325 6 1177 51 1884 163 833 69 1777 86 1754 69 198 80 422 142 640 168 1296 80 2458 22 933 134 2361 177 1576 35 6845 242 2090 36 900 84 127 230 974 46 2107
926 32 61 200 321 8 1681 102 2364 46 1868 105 916 209 1794 238 859 215 894 153 2393 61 9048 12 1780 113 1500 168 1615 145 1931 194 1394 98 311 152 734 237 62 198 2101 102 1682 239 369 9 1644 70 1638 47 356 2 1042 80 1455 18 576 229 1648 246 2406 64 2082 173 548 189 827
959 32 12 25 1034 221 1466 113 1883 48 1627 90 1309 39 258 36 2136 33 2298 245 1834 224 1562 5 1543 26 1687 84 1613 103 2080 112 2335 218 1166 98 1576 162 576 133 908 147 2309 12 3703 119 2133 77 1198 101 645 32 1457 216 1091 49 302 25 2374 204 702 96 92 193 1613 177 1856
1054 32 141 247 2211 41 1699 169 1974 145 2349 85 1405 216 1058 118 31 28 2145 34 1568 134 707 125 435 213 1781 180 2034 141 5842 160 295 28 252 75 1042 115 1140 74 1038 181 405 145 300 185 141 103 477 95 1364 199 1757 85 854 95 325 22 337 250 1600 176 1000 148 2250 196 1214
1062 32 201 145 1714 75 2270 149 95 224 2325 119 1549 195 389 240 91 111 313 71 1752 223 971 55 51 149 779 245 932 201 6083 237 612 59 2278 157 963 137 614 132 2434 121 475 180 1422 7 165 3 183 116 1863 179 2333 53 1117 177 2428 42 1317 155 1133 120 1117 232 2120 141 152
1138 32 356 65 1823 85 2168 137 1667 54 895 130 1448 43 562 179 887 149 1466 25 1566 237 246 213 559 204 1135 188 1642 86 388 169 598 235 1192 162 346 72 332 241 835 245 2076 209 633 124 898 222 223 36 1244 45 1204 200 2124 132 369 41 611 136 1532 231 1793 205 931 356 9080
1330 32 201 28 1684 75 524 59 832 199 11 207 383 210 642 131 1396 132 789 133 1997 229 25 105 1819 224 2475 221 2390 237 2452 29 1651 202 2024 139 581 136 1677 15 1593 165 661 124 748 227 349 172 1805 218 1717 15 620 239 90 182 1214 190 792 201 8308 40 560 28 1195 53 801
1396 32 12 22 1086 250 1178 11 1994 187 1016 121 89 25 518 127 2371 150 745 114 1134 94 1469 109 436 61 565 147 8 106 566 208 677 100 2138 88 1830 249 1625 56 1819 50 183 200 160 12 2175 42 284 96 1026 93 1101 35 850 220 2356 18 298 86 1561 241 2024 248 1979 185 2376
1413 32 62 60 1193 166 436 149 1412 216 862 103 1272 73 650 36 565 106 1977 67 1747 21 884 15 1083 107 777 247 2183 62 4476 219 1733 247 1226 56 755 66 229 136 1117 119 836 173 2052 90 51 128 2092 154 441 190 1570 32 1177 182 2427 153 1547 242 2500 28 819 74 2049 114 1341
1457 32 209 239 2141 129 710 230 1680 145 2379 30 1295 52 1595 157 1217 35 1137 117 2188 186 1020 112 1803 114 2441 195 857 199 1274 158 674 216 2223 15 551 238 17 152 2047 71 514 28 828 221 1356 104 1056 190 326 50 466 222 563 62 594 209 6180 149 2392 199 2437 98 63 105 667
1482 32 169 39 1435 21 632 178 1788 61 207 33 584 56 2436 151 1091 243 1724 139 772 66 1952 24 2274 141 1751 83 949 8 97 241 1831 136 58 248 58 137 2139 74 2182 165 2372 248 934 161 1235 169 2456 107 2313 182 1190 94 1219 170 1302 87 246 98 1284 68 1698 169 6218 175 2423
1512 32 80 41 518 168 529 165 2179 104 569 23 342 41 1241 168 1044 67 1915 161 441 78 1506 178 1262 163 1148 202 461 65 247 191 1302 48 1106 29 186 80 2421 127 1739 50 1164 101 1909 240 922 154 1631 138 1315 67 28 181 1457 123 1392 64 1107 179 297 60 1738 245 618 220 1511
1692 32 59 213 645 134 1635 104 1874 126 1420 153 390 203 233 222 1577 106 2266 37 483 26 401 110 369 80 1783 161 1841 25 1705 79 15 123 1914 9 1764 40 771 229 139 6 218 128 1181 207 880 213 1474 139 2433 59 4023 117 1231 83 1069 120 1913 192 601 141 335 56 2458 210 1530
1707 32 505 173 844 232 520 249 222 138 1391 505 7872 213 1840 186 1498 81 1293 217 1853 243 922 26 824 74 59 37 803 110 574 152 730 197 88 98 149 22 582 96 878 188 2450 136 1626 135 370 187 1279 151 916 174 322 96 2082 39 608 205 1880 192 262 187 1301 171 1238 94 1669
1732 32 87 93 2048 207 1347 122 756 142 788 197 1322 191 1603 25 481 237 1100 225 1651 104 891 117 1597 150 1993 177 1315 100 2165 48 1168 235 154 59 2022 160 393 185 1755 243 2299 21 435 41 625 87 2981 188 633 159 1198 172 1856 180 641 214 1412 169 1145 148 1243 147 195 222 164
1836 32 257 147 325 143 2069 187 1321 221 1652 108 1620 257 5842 71 1614 203 865 194 1480 66 98 42 1092 51 656 170 1225 81 671 205 1953 175 1842 207 2074 213 1617 221 1791 142 1725 102 1581 166 1107 182 2277 191 396 134 1901 58 337 179 452 177 868 81 1960 206 1385 128 208 242 582
1906 32 115 206 1166 31 942 1 1824 115 7599 187 1741 67 2112 103 653 173 1937 27 1965 180 1392 18 1221 209 51 163 1867 139 1969 63 1176 83 1175 223 209 75 2458 219 549 53 365 165 1653 72 1085 46 631 24 1586 241 1580 76 742 68 2035 247 575 173 953 173 1362 191 437 19 392
1972 32 22 20 1723 27 1144 63 1467 123 2016 168 2238 32 1836 22 1895 107 53 161 1865 249 947 183 1724 229 2260 218 740 190 1607 235 432 196 985 54 1603 36 1588 128 207 244 525 72 700 64 2036 129 920 208 557 171 1490 94 613 127 1270 209 310 56 959 205 892 199 964 126 1568
