818 25 67 250 1394 169 826 192 1041 169 414 218 1140 156 1932 104 925 36 287 194 1007 28 870 96 1162 97 1756 162 12 211 1893 75 566 175 1712 227 2190 223 2419 178 2287 45 269 245 8 194 168 107 775 67 2081 225 2071
859 25 82 119 783 229 1177 214 661 29 336 69 773 61 1549 195 518 238 1029 49 659 226 1479 171 14 69 862 75 1049 124 1412 174 1406 159 586 78 878 95 2087 82 2082 135 1280 152 608 122 2158 158 482 143 922 232 1365
961 25 182 66 1416 79 199 114 1305 113 874 220 534 111 371 180 2026 78 234 245 1209 212 1383 123 2466 205 2283 153 326 80 418 18 1629 30 619 124 1083 115 1973 184 2187 149 994 69 165 49 2312 111 1129 182 7834 21 904
1081 25 22 126 148 80 1263 77 1734 28 1296 22 1646 244 955 86 1790 87 1072 17 1272 226 407 147 1435 114 2151 73 2359 176 436 83 1836 82 2269 26 172 139 2444 32 444 61 1156 120 1390 145 2393 47 134 178 125 9 530
1189 25 65 117 1227 50 681 175 2484 148 155 75 1531 65 5070 140 1035 154 1937 165 130 231 2396 33 218 125 316 34 583 78 60 157 1692 97 133 205 898 104 1428 175 1789 230 1828 4 312 103 829 99 1132 230 2203 142 535
1197 25 41 22 1810 67 76 56 1956 161 113 221 1335 24 661 220 95 94 1636 129 2291 79 164 198 1712 39 71 226 201 108 89 56 1158 219 1998 94 892 82 28 156 258 216 1868 211 1395 41 3373 204 486 184 1658 124 2336
1206 25 40 160 2412 140 1531 99 1677 55 1411 135 1113 81 2009 194 1531 134 757 171 629 220 802 163 484 201 1368 148 985 78 939 134 2490 73 554 100 110 167 2143 13 1932 111 1122 231 1844 40 5944 169 457 246 1236 1 1674
1232 25 185 221 1555 113 2089 247 1022 199 1759 214 994 147 1085 180 1851 74 2275 127 416 104 1942 169 823 63 602 144 1127 187 2134 169 2490 89 25 185 4312 191 2203 240 1349 59 321 45 1049 6 109 110 521 135 136 160 1330
1234 25 85 218 2056 160 1770 91 1239 181 35 194 2235 27 1794 221 340 178 1908 186 1575 171 1840 204 307 14 612 53 2024 87 2019 32 2286 75 1282 221 725 85 5647 175 1437 65 302 132 1725 177 1485 152 1691 134 1214 157 70
1338 25 37 63 1852 162 905 161 1438 35 52 37 4750 239 671 15 1926 151 294 193 989 27 683 64 795 86 2258 199 1025 42 1891 33 726 196 423 8 1074 103 581 98 297 26 1001 128 562 36 17 29 125 63 1689 186 136
1341 25 22 65 234 101 2 98 667 179 2458 69 320 141 2118 19 64 98 2142 10 1212 228 1692 155 420 170 813 106 2362 239 1202 22 2666 23 1802 248 171 241 1850 17 528 147 1181 166 1610 62 1648 208 1762 133 823 139 285
1398 25 142 80 2122 17 497 84 1389 10 1326 159 1167 80 1010 222 1581 68 414 142 10989 169 999 1 2201 23 1780 159 1330 163 1302 230 33 145 1299 202 482 74 88 99 805 31 2427 14 1215 63 272 14 1418 195 902 250 199
1401 25 27 174 2467 15 1490 242 233 18 633 1 879 114 2347 238 2040 227 1039 3 616 142 1032 131 45 153 1291 6 2400 201 893 29 339 245 220 51 1895 217 677 143 1984 129 533 27 5544 74 1124 237 630 63 2076 110 441
1428 25 877 48 942 48 156 227 1662 26 384 100 142 133 457 176 77 233 1884 189 1426 233 940 209 1863 190 129 199 485 181 2254 81 1260 150 892 242 84 215 451 201 2194 877 8279 176 1267 127 1199 217 1844 71 637 164 35
1458 25 29 60 2259 113 2098 96 1691 65 1624 104 898 39 2403 170 1973 197 1766 97 53 21 813 225 1242 232 2191 40 549 90 263 197 1749 187 54 179 1251 2 69 11 1697 229 1271 29 4473 26 2104 116 201 150 485 30 723
1484 25 88 223 2290 152 1558 103 165 168 1228 136 1299 108 755 95 1909 146 2013 124 659 239 539 211 386 3 1766 200 115 180 1776 127 1702 112 207 88 3178 141 1083 35 1264 8 61 249 2190 157 687 197 414 160 1628 81 203
1494 25 309 70 754 155 1363 89 69 228 1134 10 1377 185 2351 65 2409 237 2482 240 1067 162 272 69 1382 152 631 166 911 70 804 179 403 187 1613 240 715 201 2019 52 392 88 2435 309 8550 132 1986 15 595 20 935 96 664
1530 25 126 146 1045 21 166 26 1708 27 1214 37 323 223 1502 248 1009 134 905 228 356 213 1687 101 1281 33 2222 131 66 179 2238 53 1536 229 1441 185 569 78 1021 176 2074 115 1444 189 35 95 1583 227 1066 166 2426 126 5665
1531 25 32 92 793 207 771 231 2244 6 1786 198 1094 170 51 7 2403 199 1289 111 555 91 2185 8 1944 209 1339 101 325 240 468 214 505 241 543 175 1890 200 662 247 490 61 924 32 7776 146 1793 172 2382 57 1095 200 1061
1577 25 439 218 1996 107 2093 198 858 1 157 123 1675 136 82 39 1619 131 1047 439 8427 107 2054 177 581 39 175 45 224 201 2020 183 1580 72 1675 177 1160 27 177 159 638 199 329 114 1133 121 477 222 452 151 626 167 1203
1582 25 94 87 290 94 5945 217 447 8 506 119 562 70 1660 119 2279 126 826 146 1501 45 1064 86 2430 210 2055 25 2292 164 2228 54 1911 42 496 152 2270 103 386 26 534 159 2130 161 1862 93 1072 188 1661 128 1595 33 2439
1596 25 19 6 144 104 1785 86 1629 19 1915 114 829 6 605 72 1168 43 1745 24 329 241 2055 79 85 41 2499 72 2399 101 1993 6 805 155 2213 92 1086 204 790 65 788 238 762 189 982 63 613 139 1150 148 2447 220 1239
1689 25 21 193 1021 158 398 225 2193 186 2003 105 1495 6 2269 220 584 220 116 120 1552 11 208 36 1958 76 413 152 1073 250 649 2 106 127 1730 182 265 70 2355 21 7941 47 155 158 1113 246 2143 102 1854 50 237 19 1125
1715 25 53 146 1713 238 2309 242 2341 40 1015 205 2492 78 1476 198 1210 233 1844 81 405 153 1188 4 1819 103 1962 58 2054 122 2184 53 24101 54 2088 233 1060 66 2148 53 1998 91 147 51 1316 99 1865 94 1741 164 2282 192 576
1731 25 366 37 683 220 598 142 1310 152 2155 95 190 55 1870 248 1389 162 950 140 1532 210 191 125 2121 129 992 189 1160 34 1305 163 1309 63 792 233 1487 69 2131 230 1645 124 1208 87 219 110 672 250 368 103 2249 366 7991
1753 25 281 36 1736 281 6649 222 1372 203 1785 88 1625 153 1005 194 2120 80 1893 110 2302 151 10 71 1128 95 1037 118 1251 149 771 121 2184 30 1054 183 1560 121 775 55 1682 78 1349 133 1002 92 1616 167 748 199 1255 212 1259
1771 25 269 187 2038 269 5287 84 1136 226 465 120 1449 75 2226 99 925 233 503 22 614 185 1758 126 1131 186 1362 243 396 88 1488 247 783 162 1763 178 2118 182 2295 200 1231 178 2377 157 239 246 984 152 211 108 2123 236 157
1776 25 69 131 1654 48 318 197 2237 109 1163 231 1383 240 1477 86 967 100 1551 160 2397 226 646 95 1578 184 2256 39 2395 71 983 109 1824 90 991 124 1528 176 809 90 2039 69 4237 120 1264 54 17 203 1583 167 1327 101 652
1786 25 116 217 1868 161 2043 69 109 174 1289 156 1795 31 367 242 2412 59 2188 107 32 68 202 160 606 93 576 116 4301 114 367 136 1009 174 2101 33 1439 178 932 58 360 68 519 234 727 219 1414 212 2451 241 2449 59 291
1807 25 31 182 602 29 1232 207 2028 40 1628 224 152 16 10 61 1605 111 820 6 2364 115 1379 102 2346 201 1665 74 248 75 164 177 1874 145 1943 211 2281 203 148 228 1653 189 1533 157 15 169 2131 242 328 198 1557 31 12214
1874 25 298 298 9993 165 1855 33 1265 222 417 206 2143 28 2187 245 1564 201 1753 186 245 57 1940 207 1017 77 439 245 494 120 97 3 657 182 1645 47 1909 187 1337 58 1945 204 1115 185 2438 225 92 177 244 246 2412 156 1049
1887 25 48 60 76 91 1040 146 2115 78 1705 141 962 227 2172 131 585 235 645 72 1573 239 649 94 2435 185 101 39 1849 87 669 21 1641 114 1533 242 753 166 1644 192 1271 133 1672 182 1932 48 3750 56 1592 44 363 122 1481
1928 25 238 220 1511 6 312 103 2081 67 2220 190 2245 201 1292 107 1781 111 1535 184 1271 227 2368 97 2416 152 1423 2 999 133 1332 196 1264 72 140 238 7885 138 1280 71 2392 163 1214 201 1608 17 1087 108 925 212 57 6 53
1986 25 33 149 1147 46 2176 134 504 97 709 196 1119 59 2296 249 1223 75 1866 148 405 185 2314 45 1274 155 911 33 3818 185 920 36 106 159 1966 69 2268 115 2043 126 922 60 1114 6 1045 144 729 21 2430 91 575 180 220
